Comparison: WORD2VEC GOOGLENEWS NORMALIZED, FASTTEXT NORMALIZED COSINE, GLOVE NORMALIZED, CONCEPTNET NUMBERBATCH, UNIVERSAL SENTENCE ENCODER WITH WORDS
    WORD2VEC GOOGLENEWS NORMALIZED
               FASTTEXT NORMALIZED COSINE
                          GLOVE NORMALIZED
                                     CONCEPTNET NUMBERBATCH
                                                UNIVERSAL SENTENCE ENCODER WITH WORDS
                                                          | STD        MEAN       AMAX       AMIN       RNG       | PROPERTY
Spatial:
    3901       4000       4000       3913       4000      | 45.718268  3962.8000  4000.0000  3901.0000  99.000000 | Count
    300        300        300        300        512       | 84.800000  342.40000  512.00000  300.00000  212.00000 | Dimensionality
  * the        ,          the        the        ,         |                                                       |*Medoid - Obj Nearest to Centroid
    0.0577199  0.0577211  0.0577283  0.0577293  0.0441854 | 0.0054157  0.0550168  0.0577293  0.0441854  0.0135438 | Standard Dev
    1.0600094  0.0820669  0.0771804  0.7030983  0.0847057 | 0.4079646  0.4014121  1.0600094  0.0771804  0.9828290 | Skew
    0.2618904  0.4057736  0.4028198  0.1795856  0.6062670 | 0.1456820  0.3712673  0.6062670  0.1795856  0.4266813 | Centroid Norm
    25.875439  19.598847  11.243089  30.153141  9.6977296 | 7.9778800  19.313649  30.153141  9.6977296  20.455411 | Centroid Dist Min
    58.170989  42.958905  66.919599  63.041917  48.377166 | 8.9628201  55.893715  66.919599  42.958905  23.960694 | Centroid Dist Max
    32.295550  23.360058  55.676510  32.888777  38.679437 | 10.731569  36.580066  55.676510  23.360058  32.316452 | Centroid Dist Range
    3.2808090  3.0748578  6.7431699  3.8337816  5.4207268 | 1.4026084  4.4706690  6.7431699  3.0748578  3.6683121 | Centroid Dist Standard Dev
    (0)        (0)        (0)        (0)        (0)       | ()         ()         ()         ()         ()        | Centroid Dist Histogram Key
  * 42.290570  34.046666  34.215906  47.006282  22.559241 | 8.3469660  36.023733  47.006282  22.559241  24.447041 |*Dispersion - Centroid Dist Avg
  * 21.130750  18.225260  16.959583  16.322366  12.336158 | 2.8557473  16.994823  21.130750  12.336158  8.7945914 |*Repulsion - Nearest Dist Avg
    1.1874113  0.7467557  0.4823791  1.5645001 -3.415e-06 | 0.5437278  0.7962086  1.5645001 -3.415e-06  1.5645036 | Nghbr 1 Dist Min
    47.612333  36.823004  41.011463  40.539177  28.377988 | 6.2940108  38.872793  47.612333  28.377988  19.234345 | Nghbr 1 Dist Max
    46.424921  36.076249  40.529084  38.974676  28.377991 | 5.9089779  38.076584  46.424921  28.377991  18.046930 | Nghbr 1 Dist Range
    6.8973503  6.6109495  6.6463975  7.7453650  4.3550283 | 1.1252973  6.4510181  7.7453650  4.3550283  3.3903367 | Nghbr 1 Dist Standard Dev
    (1)        (1)        (1)        (1)        (1)       | ()         ()         ()         ()         ()        | Nghbr 1 Dist Histogram Key
    25.640277  22.567882  20.805719  22.037971  14.439950 | 3.6902965  21.098360  25.640277  14.439950  11.200327 | Nghbr 2 Dist Avg
    1.8318394  1.0776849  0.7113630  1.9865550  6.830e-06 | 0.7322269  1.1214898  1.9865550  6.830e-06  1.9865482 | Nghbr 2 Dist Min
    47.903887  37.695422  41.099958  41.567077  28.817072 | 6.2418705  39.416683  47.903887  28.817072  19.086815 | Nghbr 2 Dist Max
    46.072047  36.617737  40.388595  39.580522  28.817065 | 5.6420322  38.295193  46.072047  28.817065  17.254982 | Nghbr 2 Dist Range
    6.2694992  5.9694896  6.4655357  7.1535421  4.3587014 | 0.9279447  6.0433536  7.1535421  4.3587014  2.7948407 | Nghbr 2 Dist Standard Dev
    (2)        (2)        (2)        (2)        (2)       | ()         ()         ()         ()         ()        | Nghbr 2 Dist Histogram Key
  * 73.682061  62.563538  73.603616  71.277961  66.491982 | 4.3508684  69.523832  73.682061  62.563538  11.118522 |*Broadness - Furthest Dist Max
    65.189800  57.916214  64.233571  66.022273  55.620125 | 4.2074977  61.796397  66.022273  55.620125  10.402148 | Nghbr -1 Dist Avg
    60.897947  53.315636  55.692737  62.385197  48.593248 | 5.0351616  56.176953  62.385197  48.593248  13.791949 | Nghbr -1 Dist Min
    12.784114  9.2479021  17.910879  8.8927638  17.898734 | 3.9624977  13.346879  17.910879  8.8927638  9.0181155 | Nghbr -1 Dist Range
    1.6360434  1.1841533  2.1249749  1.1615035  2.4286532 | 0.5042730  1.7070656  2.4286532  1.1615035  1.2671496 | Nghbr -1 Dist Standard Dev
    (3)        (3)        (3)        (3)        (3)       | ()         ()         ()         ()         ()        | Nghbr -1 Dist Histogram Key
Nodes:
    985        1055       1016       1085       826       | 90.320762  993.40000  1085.0000  826.00000  259.00000 | Count
    17.486582  14.931081  14.021850  12.498370  10.293359 | 2.4041433  13.846248  17.486582  10.293359  7.1932230 | Span Avg
    1.1874113  0.7467557  0.4823791  1.5645001 -3.415e-06 | 0.5437278  0.7962086  1.5645001 -3.415e-06  1.5645036 | Span Min
    35.600537  30.626123  29.768850  34.964509  19.475973 | 5.7822998  30.087198  35.600537  19.475973  16.124564 | Span Max
    34.413125  29.879367  29.286471  33.400009  19.475976 | 5.2877408  29.290990  34.413125  19.475976  14.937149 | Span Range
    5.4643165  5.3178250  5.2569958  5.9730110  3.4719691 | 0.8505768  5.0968235  5.9730110  3.4719691  2.5010419 | Span Standard Dev
    (4)        (4)        (4)        (4)        (4)       | ()         ()         ()         ()         ()        | Span Histogram Key
  * 0.5049987  0.5275000  0.5080000  0.5545617  0.4130000 | 0.0477037  0.5016121  0.5545617  0.4130000  0.1415617 |*Nodal Factor
    0.0612529  0.0583755  0.0674823  0.0698058  0.0775747 | 0.0067422  0.0668982  0.0775747  0.0583755  0.0191992 | Alignment Factor
Extremities:
  * 334        416        170        590        38        | 191.72647  309.60000  590.00000  38.000000  552.00000 |*Count
    66.337546  59.086585  65.823242  66.905996  59.319628 | 3.5214637  63.494600  66.905996  59.086585  7.8194118 | Span Avg
  * 63.565872  56.442404  62.845614  64.306169  55.152917 | 3.8584138  60.462595  64.306169  55.152917  9.1532518 |*Span Min
  * 73.682061  62.563538  73.603616  71.277961  66.491982 | 4.3508684  69.523832  73.682061  62.563538  11.118522 |*Span Max
    10.116189  6.1211341  10.758002  6.9717925  11.339065 | 2.1066760  9.0612365  11.339065  6.1211341  5.2179310 | Span Range
    1.5550189  1.0041655  1.6976585  1.1221742  2.6515957 | 0.5831917  1.6061226  2.6515957  1.0041655  1.6474302 | Span Standard Dev
    (5)        (5)        (5)        (5)        (5)       | ()         ()         ()         ()         ()        | Span Histogram Key
Supernodes:
    103        108        30         190        14        | 63.030152  89.000000  190.00000  14.000000  176.00000 | Count
    64.273696  56.564945  64.044265  65.498626  55.081849 | 4.3559971  61.092676  65.498626  55.081849  10.416778 | Span Avg
    61.200422  54.873097  60.869626  63.384950  50.357960 | 4.8074797  58.137211  63.384950  50.357960  13.026990 | Span Min
    68.553306  60.093407  72.853698  69.301654  58.610382 | 5.5465072  65.882489  72.853698  58.610382  14.243316 | Span Max
    7.3528842  5.2203104  11.984072  5.9167041  8.2524223 | 2.3705564  7.7452787  11.984072  5.2203104  6.7637619 | Span Range
    1.6638788  1.1689888  2.2471662  1.1798709  2.4065499 | 0.5190133  1.7332909  2.4065499  1.1689888  1.2375611 | Span Standard Dev
    (6)        (6)        (6)        (6)        (6)       | ()         ()         ()         ()         ()        | Span Histogram Key
  * 0.1056139  0.1080000  0.0300000  0.1942244  0.0140000 | 0.0645071  0.0903677  0.1942244  0.0140000  0.1802244 |*Island Factor
  * 0.2091371  0.2047393  0.0590551  0.3502304  0.0338983 | 0.1149295  0.1714120  0.3502304  0.0338983  0.3163321 |*Hierarchical Factor
Nodal 4-Hubs:
    241        253        297        238        288       | 24.450767  263.40000  297.00000  238.00000  59.000000 | Count
    4.4647303  4.3478261  4.3131313  4.2941176  4.8055556 | 0.1897299  4.4450722  4.8055556  4.2941176  0.5114379 | Population Avg
    4.0000000  4.0000000  4.0000000  4.0000000  4.0000000 | 0.0000000  4.0000000  4.0000000  4.0000000  0.0000000 | Population Min
    14.000000  10.000000  9.0000000  10.000000  25.000000 | 5.9531504  13.600000  25.000000  9.0000000  16.000000 | Population Max
    10.000000  6.0000000  5.0000000  6.0000000  21.000000 | 5.9531504  9.6000000  21.000000  5.0000000  16.000000 | Population Range
    1.1340637  0.7528373  0.7336978  0.7316717  1.7668938 | 0.4018122  1.0238329  1.7668938  0.7316717  1.0352220 | Population Standard Dev
    (7)        (7)        (7)        (7)        (7)       | ()         ()         ()         ()         ()        | Population Histogram Key
    0.7983732  0.8295853  0.8423965  0.8369856  0.8890834 | 0.0291983  0.8392848  0.8890834  0.7983732  0.0907102 | Centroid Norm Avg
    0.6850386  0.7242236  0.7289611  0.6947465  0.8046448 | 0.0420475  0.7275229  0.8046448  0.6850386  0.1196061 | Centroid Norm Min
    0.9783387  0.9785703  0.9852964  0.9754482  1.0000000 | 0.0088458  0.9835307  1.0000000  0.9754482  0.0245518 | Centroid Norm Max
